"OP","OP_DESC","OP_C"
35.52,"PROS REPAIR ATRIA DEF-CL                      ",35.52
35.53,"PROST REPAIR VENTRIC DEF                      ",35.53
35.54,"PROS REP ENDOCAR CUSHION                      ",35.54
35.6,"GRFT REPAIR HRT SEPT NOS                      ",35.6
35.61,"GRART REPAIR ATRIAL DEF                       ",35.61
35.62,"GRAFT REPAIR VENTRIC DEF                      ",35.62
35.63,"GRFT REP ENDOCAR CUSHION                      ",35.63
35.7,"HEART SEPTA REPAIR NOS                        ",35.7
35.71,"ATRIA SEPTA DEF REP NEC                       ",35.71
35.72,"VENTR SEPTA DEF REP NEC                       ",35.72
35.73,"ENDOCAR CUSHION REP NEC                       ",35.73
35.81,"TOT REPAIR TETRAL FALLOT                      ",35.81
35.82,"TOTAL REPAIR OF TAPVC                         ",35.82
35.83,"TOT REP TRUNCUS ARTERIOS                      ",35.83
35.84,"TOT RX GRT VESSL TRNSPOS                      ",35.84
35.91,"INTERAT VEN RETRN TRANSP                      ",35.91
35.92,"CONDUIT RT VENT-PUL ART                       ",35.92
35.93,"CONDUIT LEFT VENTR-AORTA                      ",35.93
35.94,"CONDUIT ATRIUM-PULM ART                       ",35.94
35.95,"HEART REPAIR REVISION                         ",35.95
35.96,"PERCUTAN VALVULOPLASTY                        ",35.96
35.98,"OTHER HEART SEPTA OPS                         ",35.98
35.99,"OTHER HEART VALVE OPS                         ",35.99
36.01,"PTCA-1 VESSEL NO LYSIS                        ",36.01
36.02,"PTCA-1 VESSEL WITH LYSIS                      ",36.02
36.03,"OPEN CORONARY ANGIOPLAST                      ",36.03
36.04,"INTRACORON THROMBOLYSIS                       ",36.04
36.05,"PTCA-MULTIPLE VESSELS                         ",36.05
36.09,"REMOV COR ART OBSTR NEC                       ",36.09
36.1,"AORTOCORONARY BYPASS NOS                      ",36.1
36.11,"AORTOCOR BYPAS-1 COR ART                      ",36.11
36.12,"AORTOCOR BYPAS-2 COR ART                      ",36.12
36.13,"AORTOCOR BYPAS-3 COR ART                      ",36.13
36.14,"AORTCOR BYPAS-4+ COR ART                      ",36.14
36.15,"1 INT MAM-COR ART BYPASS                      ",36.15
36.16,"2 INT MAM-COR ART BYPASS                      ",36.16
36.19,"HRT REVAS BYPS ANAS NEC                       ",36.19
36.2,"ARTERIAL IMPLANT REVASC                       ",36.2
36.3,"HEART REVASCULARIZAT NEC                      ",36.3
36.91,"CORON VESS ANEURYSM REP                       ",36.91
36.99,"HEART VESSEL OP NEC                           ",36.99
37,"PERICARDIOCENTESIS                            ",37
37.1,"INCISION OF HEART NOS                         ",37.1
37.11,"CARDIOTOMY                                    ",37.11
37.12,"PERICARDIOTOMY                                ",37.12
37.21,"RT HEART CARDIAC CATH                         ",37.21
37.22,"LEFT HEART CARDIAC CATH                       ",37.22
37.23,"RT/LEFT HEART CARD CATH                       ",37.23
37.24,"PERICARDIAL BIOPSY                            ",37.24
37.25,"CARDIAC BIOPSY                                ",37.25
37.26,"CARDIAC ELECTRPHYS STUDY                      ",37.26
37.27,"CARDIAC MAPPING                               ",37.27
37.29,"HRT/PERICAR DX PROC NEC                       ",37.29
37.31,"PERICARDIECTOMY                               ",37.31
37.32,"HEART ANEURYSM EXCISION                       ",37.32
37.33,"HEART LES EXCISION NEC                        ",37.33
37.34,"CATH ABLATION HEART LESN                      ",37.34
37.4,"HEART & PERICARD REPAIR                       ",37.4
37.5,"HEART TRANSPLANTATION                         ",37.5
37.61,"PULSATION BALLOON IMPLAN                      ",37.61
37.62,"IMPLANT HRT ASST SYS NEC                      ",37.62
37.63,"REPLACE HRT ASSIST SYST                       ",37.63
37.64,"REMOVE HEART ASSIST SYS                       ",37.64
37.7,"INSERT PACEMAKR LEAD NOS                      ",37.7
37.71,"INSERT IV LEAD-VENTRICLE                      ",37.71
37.72,"INSERT IV LEAD-ATR&VENT                       ",37.72
37.73,"INSERT IV LEAD-ATRIUM                         ",37.73
37.74,"INSERT EPICARDIAL LEAD                        ",37.74
37.75,"REVISION PACEMAKER LEAD                       ",37.75
37.76,"REPLACE TRANSVENOUS LEAD                      ",37.76
37.77,"REMOVAL PACEMAKER LEAD                        ",37.77
37.78,"INSERT TEMP PACEMAKR SYS                      ",37.78
37.79,"REVISE PACEMAKER POCKET                       ",37.79
37.8,"INSERT PACEMAKER DEV NOS                      ",37.8
37.81,"INSERT SINGL CHAMBER DEV                      ",37.81
37.82,"INSRT RATE-RESPONSIV DEV                      ",37.82
37.83,"INSERT DUAL CHAMBER DEV                       ",37.83
37.85,"REPLACE W 1-CHAMBER DEV                       ",37.85
37.86,"REPLACE W RATE-RESP DEV                       ",37.86
37.87,"REPLACE W DUAL-CHAMB DEV                      ",37.87
37.89,"REVISE/REMOVE PACEMAKER                       ",37.89
37.91,"OPN CHEST CARDIAC MASSAG                      ",37.91
37.92,"INJECTION INTO HEART                          ",37.92
37.93,"INJECTION INTO PERICARD                       ",37.93
37.94,"CARDIOVERT/DEFIB-TOT SYS                      ",37.94
37.95,"IMPLNT CARDVRT/DFIB LEAD                      ",37.95
37.96,"INSRT CRDVRT/DFIB PLS GN                      ",37.96
37.97,"REPL CARDIVERT/DFIB LEAD                      ",37.97
37.98,"REPL CRDVRT/DFIB PULS GN                      ",37.98
37.99,"OTHER HEART/PERICARD OPS                      ",37.99
38,"INCISION OF VESSEL NOS                        ",38
38.01,"INTRACRAN VESSEL INCIS                        ",38.01
38.02,"HEAD/NECK VES INCIS NEC                       ",38.02
38.03,"UPPER LIMB VESSEL INCIS                       ",38.03
38.04,"INCISION OF AORTA                             ",38.04
38.05,"THORACIC VESSEL INC NEC                       ",38.05
38.06,"ABDOMEN ARTERY INCISION                       ",38.06
38.07,"ABDOMINAL VEIN INCISION                       ",38.07
38.08,"LOWER LIMB ARTERY INCIS                       ",38.08
38.09,"LOWER LIMB VEIN INCISION                      ",38.09
38.1,"ENDARTERECTOMY NOS                            ",38.1
38.11,"INTRACRAN ENDARTERECTOMY                      ",38.11
38.12,"HEAD & NECK ENDARTER NEC                      ",38.12
38.13,"UPPER LIMB ENDARTERECTOM                      ",38.13
38.14,"ENDARTERECTOMY OF AORTA                       ",38.14
38.15,"THORACIC ENDARTERECTOMY                       ",38.15
38.16,"ABDOMINAL ENDARTERECTOMY                      ",38.16
38.18,"LOWER LIMB ENDARTERECT                        ",38.18
38.21,"BLOOD VESSEL BIOPSY                           ",38.21
38.22,"PERCUTANEOUS ANGIOSCOPY                       ",38.22
38.29,"BLOOD VESSEL DX PROC NEC                      ",38.29
38.3,"VESSEL RESECT/ANAST NOS                       ",38.3
38.31,"INTRACRAN VES RESEC-ANAS                      ",38.31
38.32,"HEAD/NECK VES RESEC-ANAS                      ",38.32
38.33,"ARM VESSEL RESECT/ANAST                       ",38.33
38.34,"AORTA RESECTION & ANAST                       ",38.34
38.35,"THOR VESSEL RESECT/ANAST                      ",38.35
38.36,"ABD VESSEL RESECT/ANAST                       ",38.36
38.37,"ABD VEIN RESECT & ANAST                       ",38.37
38.38,"LEG ARTERY RESECT/ANAST                       ",38.38
38.39,"LEG VEIN RESECT/ANASTOM                       ",38.39
38.4,"VESSEL RESECT/REPLAC NOS                      ",38.4
38.41,"INTRACRAN VES RESEC-REPL                      ",38.41
38.42,"HEAD/NECK VES RESEC-REPL                      ",38.42
38.43,"ARM VES RESECT W REPLACE                      ",38.43
38.44,"ABD AORTA RESECT W REPL                       ",38.44
38.45,"THOR VES RESECT W REPLAC                      ",38.45
38.46,"ABD ARTERY RESEC W REPLA                      ",38.46
38.47,"ABD VEIN RESECT W REPLAC                      ",38.47
38.48,"LEG ARTERY RESEC W REPLA                      ",38.48
38.49,"LEG VEIN RESECT W REPLAC                      ",38.49
38.5,"VARICOSE V LIG-STRIP NOS                      ",38.5
38.51,"INTCRAN VAR V LIG-STRIP                       ",38.51
38.52,"HEAD/NECK VAR V LIG-STR                       ",38.52
38.53,"ARM VARICOSE V LIG-STRIP                      ",38.53
38.55,"THORAC VAR V LIG-STRIP                        ",38.55
38.57,"ABD VARICOS V LIGA-STRIP                      ",38.57
38.59,"LEG VARICOS V LIGA-STRIP                      ",38.59
38.6,"EXCISION OF VESSEL NOS                        ",38.6
38.61,"INTRACRAN VESSEL EXCIS                        ",38.61
38.62,"HEAD/NECK VESSEL EXCIS                        ",38.62
38.63,"ARM VESSEL EXCISION                           ",38.63
38.64,"EXCISION OF AORTA                             ",38.64
38.65,"THORACIC VESSEL EXCISION                      ",38.65
38.66,"ABDOMINAL ARTERY EXCIS                        ",38.66
38.67,"ABDOMINAL VEIN EXCISION                       ",38.67
38.68,"LEG ARTERY EXCISION                           ",38.68
38.69,"LEG VEIN EXCISION                             ",38.69
38.7,"PLICATION OF VENA CAVA                        ",38.7
38.8,"SURG VESSEL OCCLUS NEC                        ",38.8
38.81,"OCCLUS INTRACRAN VES NEC                      ",38.81
38.82,"OCCLUS HEAD/NECK VES NEC                      ",38.82
38.83,"OCCLUDE ARM VESSEL NEC                        ",38.83
38.84,"OCCLUDE AORTA NEC                             ",38.84
38.85,"OCCLUDE THORACIC VES NEC                      ",38.85
38.86,"OCCLUDE ABD ARTERY NEC                        ",38.86
38.87,"OCCLUDE ABD VEIN NEC                          ",38.87
38.88,"OCCLUDE LEG ARTERY NEC                        ",38.88
38.89,"OCCLUDE LEG VEIN NEC                          ",38.89
38.91,"ARTERIAL CATHETERIZATION                      ",38.91
38.92,"UMBILICAL VEIN CATH                           ",38.92
38.93,"VENOUS CATHETER NEC                           ",38.93
38.94,"VENOUS CUTDOWN                                ",38.94
38.95,"VEIN CATH FOR REN DIALYS                      ",38.95
38.98,"ARTERIAL PUNCTURE NEC                         ",38.98
38.99,"VENOUS PUNCTURE NEC                           ",38.99
39,"SYSTEMIC-PULM ART SHUNT                       ",39
39.1,"INTRA-ABD VENOUS SHUNT                        ",39.1
39.21,"CAVAL-PULMON ART ANASTOM                      ",39.21
39.22,"AORTA-SUBCLV-CAROT BYPAS                      ",39.22
39.23,"INTRATHORACIC SHUNT NEC                       ",39.23
39.24,"AORTA-RENAL BYPASS                            ",39.24
39.25,"AORTA-ILIAC-FEMOR BYPASS                      ",39.25
39.26,"INTRA-ABDOMIN SHUNT NEC                       ",39.26
39.27,"DIALYSIS ARTERIOVENOSTOM                      ",39.27
39.28,"EC-IC VASCULAR BYPASS                         ",39.28
39.29,"VASC SHUNT & BYPASS NEC                       ",39.29
39.3,"SUTURE OF VESSEL NOS                          ",39.3
39.31,"SUTURE OF ARTERY                              ",39.31
39.32,"SUTURE OF VEIN                                ",39.32
39.41,"POSTOP VASC OP HEM CONTR                      ",39.41
39.42,"REVIS REN DIALYSIS SHUNT                      ",39.42
39.43,"REMOV REN DIALYSIS SHUNT                      ",39.43
39.49,"VASC PROC REVISION NEC                        ",39.49
39.51,"CLIPPING OF ANEURYSM                          ",39.51
39.52,"ANEURYSM REPAIR NEC                           ",39.52
39.53,"ARTERIOVEN FISTULA REP                        ",39.53
39.54,"RE-ENTRY OPERATION                            ",39.54
39.55,"REIMPLAN ABERR RENAL VES                      ",39.55
39.56,"REPAIR VESS W TIS PATCH                       ",39.56
39.57,"REP VESS W SYNTH PATCH                        ",39.57
39.58,"REPAIR VESS W PATCH NOS                       ",39.58
39.59,"REPAIR OF VESSEL NEC                          ",39.59
39.61,"EXTRACORPOREAL CIRCULAT                       ",39.61
39.62,"HYPOTHERMIA W OPEN HEART                      ",39.62
39.63,"CARDIOPLEGIA                                  ",39.63
39.64,"INTRAOP CARDIAC PACEMAK                       ",39.64
39.65,"ECMO                                          ",39.65
39.66,"PERCUT CARD/PULM BYPASS                       ",39.66
39.7,"PERIARTER SYMPATHECTOMY                       ",39.7
39.8,"VASCULAR BODY OPERATIONS                      ",39.8
39.91,"FREEING OF VESSEL                             ",39.91
39.92,"VEIN INJECT-SCLEROS AGNT                      ",39.92
39.93,"INSERT VES-TO-VES CANNUL                      ",39.93
39.94,"REPLAC VES-TO-VES CANNUL                      ",39.94
39.95,"HEMODIALYSIS                                  ",39.95
39.96,"TOTAL BODY PERFUSION                          ",39.96
39.97,"OTHER PERFUSION                               ",39.97
39.98,"HEMORRHAGE CONTROL NOS                        ",39.98
39.99,"VESSEL OPERATION NEC                          ",39.99
40,"INCIS LYMPHATIC STRUCTUR                      ",40
40.11,"LYMPHATIC STRUCT BIOPSY                       ",40.11
40.19,"LYMPHATIC DIAG PROC NEC                       ",40.19
40.21,"EXCIS DEEP CERVICAL NODE                      ",40.21
40.22,"EXCISE INT MAMMARY NODE                       ",40.22
40.23,"EXCISE AXILLARY NODE                          ",40.23
40.24,"EXCISE INGUINAL NODE                          ",40.24
40.29,"SIMP EXC LYMPH STRUC NEC                      ",40.29
40.3,"REGIONAL LYMPH NODE EXC                       ",40.3
40.4,"RAD NECK DISSECTION NOS                       ",40.4
40.41,"UNILAT RAD NECK DISSECT                       ",40.41
40.42,"BILAT RAD NECK DISSECT                        ",40.42
40.5,"RAD NODE DISSECTION NOS                       ",40.5
40.51,"RAD DISSEC AXILLARY NODE                      ",40.51
40.52,"RAD DISSEC PERIAORT NODE                      ",40.52
40.53,"RAD DISSECT ILIAC NODES                       ",40.53
40.54,"RADICAL GROIN DISSECTION                      ",40.54
40.59,"RAD NODE DISSECTION NEC                       ",40.59
40.61,"THORAC DUCT CANNULATION                       ",40.61
40.62,"THORACIC DUCT FISTULIZAT                      ",40.62
40.63,"CLOSE THORACIC DUCT FIST                      ",40.63
40.64,"LIGATE THORACIC DUCT                          ",40.64
40.69,"THORACIC DUCT OP NEC                          ",40.69
40.9,"LYMPH STRUCTURE OP NEC                        ",40.9
41,"BONE MARROW TRNSPLNT NOS                      ",41
41.01,"AUTOLOGOUS MARROW TRNSPL                      ",41.01
41.02,"ALLO MARROW TRANS W PURG                      ",41.02
41.03,"ALLO MARROW TRANSPL NEC                       ",41.03
41.1,"PUNCTURE OF SPLEEN                            ",41.1
41.2,"SPLENOTOMY                                    ",41.2
41.31,"BONE MARROW BIOPSY                            ",41.31
41.32,"ASPIRAT BIOPSY OF SPLEEN                      ",41.32
41.33,"OPEN BIOPSY OF SPLEEN                         ",41.33
41.38,"MARROW DIAGNOST PROC NEC                      ",41.38
41.39,"SPLEEN DIAGNOST PROC NEC                      ",41.39
41.41,"SPLENIC CYST MARSUPIAL                        ",41.41
41.42,"EXC SPLENIC LESION/TISS                       ",41.42
41.43,"PARTIAL SPLENECTOMY                           ",41.43
41.5,"TOTAL SPLENECTOMY                             ",41.5
41.91,"DONOR MARROW ASPIRATION                       ",41.91
41.92,"INJECTION INTO MARROW                         ",41.92
41.93,"EXC OF ACCESSORY SPLEEN                       ",41.93
41.94,"SPLEEN TRANSPLANTATION                        ",41.94
41.95,"REPAIR OF SPLEEN                              ",41.95
41.98,"BONE MARROW OPS NEC                           ",41.98
41.99,"SPLEEN OPERATION NEC                          ",41.99
42.01,"ESOPHAGEAL WEB INCISION                       ",42.01
42.09,"ESOPHAGEAL INCISION NEC                       ",42.09
42.1,"ESOPHAGOSTOMY NOS                             ",42.1
42.11,"CERVICAL ESOPHAGOSTOMY                        ",42.11
42.12,"ESOPH POUCH EXTERIORIZAT                      ",42.12
42.19,"EXT FISTULIZAT ESOPH NEC                      ",42.19
42.21,"ESOPHAGOSCOPY BY INCIS                        ",42.21
42.22,"ESOPHAGOSCOPY THRU STOMA                      ",42.22
42.23,"ESOPHAGOSCOPY NEC                             ",42.23
42.24,"CLOSED ESOPHAGEAL BIOPSY                      ",42.24
42.25,"OPEN ESOPHAGEAL BIOPSY                        ",42.25
42.29,"ESOPHAGEAL DX PROC NEC                        ",42.29
42.31,"LOC EXCIS ESOPH DIVERTIC                      ",42.31
42.32,"LOCAL EXCIS ESOPHAG NEC                       ",42.32
42.33,"ENDOSC DESTRCT ESOPH LES                      ",42.33
42.39,"DESTRUCT ESOPHAG LES NEC                      ",42.39
42.4,"ESOPHAGECTOMY NOS                             ",42.4
42.41,"PARTIAL ESOPHAGECTOMY                         ",42.41
42.42,"TOTAL ESOPHAGECTOMY                           ",42.42
42.51,"THORAC ESOPHAGOESOPHAGOS                      ",42.51
42.52,"THORAC ESOPHAGOGASTROST                       ",42.52
42.53,"THORAC SM BOWEL INTERPOS                      ",42.53
42.54,"THORAC ESOPHAGOENTER NEC                      ",42.54
42.55,"THORAC LG BOWEL INTERPOS                      ",42.55
42.56,"THORAC ESOPHAGOCOLOS NEC                      ",42.56
42.58,"THORAC INTERPOSITION NEC                      ",42.58
42.59,"THORAC ESOPHAG ANAST NEC                      ",42.59
42.61,"STERN ESOPHAGOESOPHAGOST                      ",42.61
42.62,"STERN ESOPHAGOGASTROSTOM                      ",42.62
42.63,"STERN SM BOWEL INTERPOS                       ",42.63
42.64,"STERN ESOPHAGOENTER NEC                       ",42.64
42.65,"STERN LG BOWEL INTERPOS                       ",42.65
42.66,"STERN ESOPHAGOCOLOS NEC                       ",42.66
42.68,"STERN INTERPOSITION NEC                       ",42.68
42.69,"STERN ESOPHAG ANAST NEC                       ",42.69
42.7,"ESOPHAGOMYOTOMY                               ",42.7
42.81,"INSERT PERM TUBE ESOPHAG                      ",42.81
42.82,"SUTURE ESOPHAGEAL LACER                       ",42.82
42.83,"ESOPHAGOSTOMY CLOSURE                         ",42.83
42.84,"ESOPH FISTULA REPAIR NEC                      ",42.84
42.85,"ESOPHAG STRICTURE REPAIR                      ",42.85
42.86,"PROD SUBQ TUNNEL NO ANAS                      ",42.86
42.87,"ESOPHAGEAL GRAFT NEC                          ",42.87
42.89,"ESOPHAGEAL REPAIR NEC                         ",42.89
42.91,"INJECT/LIGAT ESOPH VARIX                      ",42.91
42.92,"ESOPHAGEAL DILATION                           ",42.92
42.99,"ESOPHAGEAL OPERATION NEC                      ",42.99
43,"GASTROTOMY                                    ",43
43.11,"PERCUTANEOUS GASTROSTOMY                      ",43.11
43.19,"GASTROSTOMY NEC                               ",43.19
43.3,"PYLOROMYOTOMY                                 ",43.3
43.41,"ENDOSC DSTRCT GASTRC LES                      ",43.41
43.42,"LOCAL GASTR EXCISION NEC                      ",43.42
43.49,"LOCAL GASTR DESTRUCT NEC                      ",43.49
43.5,"PROXIMAL GASTRECTOMY                          ",43.5
43.6,"DISTAL GASTRECTOMY                            ",43.6
43.7,"PART GASTREC W JEJ ANAST                      ",43.7
43.81,"PART GAST W JEJ TRANSPOS                      ",43.81
43.89,"PARTIAL GASTRECTOMY NEC                       ",43.89
43.91,"TOT GAST W INTES INTERPO                      ",43.91
43.99,"TOTAL GASTRECTOMY NEC                         ",43.99
44,"VAGOTOMY NOS                                  ",44
44.01,"TRUNCAL VAGOTOMY                              ",44.01
44.02,"HIGHLY SELECT VAGOTOMY                        ",44.02
44.03,"SELECTIVE VAGOTOMY NEC                        ",44.03
44.11,"TRANSABDOMIN GASTROSCOPY                      ",44.11
44.12,"GASTROSCOPY THRU STOMA                        ",44.12
44.13,"GASTROSCOPY NEC                               ",44.13
44.14,"ENDOSCOPIC GASTRIC BX                         ",44.14
44.15,"OPEN BIOPSY OF STOMACH                        ",44.15
44.19,"GASTRIC DIAGNOS PROC NEC                      ",44.19
44.21,"DILAT PYLORUS BY INCIS                        ",44.21
44.22,"ENDOSCOPIC DILAT PYLORUS                      ",44.22
44.29,"OTHER PYLOROPLASTY                            ",44.29
44.31,"HIGH GASTRIC BYPASS                           ",44.31
44.39,"GASTROENTEROSTOMY NEC                         ",44.39
44.4,"SUTURE PEPTIC ULCER NOS                       ",44.4
44.41,"SUT GASTRIC ULCER SITE                        ",44.41
44.42,"SUTURE DUODEN ULCER SITE                      ",44.42
44.43,"ENDOSC CNTRL PEP ULC HEM                      ",44.43
44.44,"CATH EMBOLIZ PEP ULC HEM                      ",44.44
44.49,"CONTROL PEP ULCR HEM NEC                      ",44.49
44.5,"REVISION GASTRIC ANASTOM                      ",44.5
44.61,"SUTURE GASTRIC LACERAT                        ",44.61
44.62,"GASTROSTOMY CLOSURE                           ",44.62
44.63,"CLOSE GASTRIC FISTUL NEC                      ",44.63
44.64,"GASTROPEXY                                    ",44.64
44.65,"ESOPHAGOGASTROPLASTY                          ",44.65
44.66,"CREAT ESOPHAGASTR SPHINC                      ",44.66
44.69,"GASTRIC REPAIR NEC                            ",44.69
44.91,"LIGATE GASTRIC VARICES                        ",44.91
44.92,"INTRAOP GASTRIC MANIPUL                       ",44.92
44.93,"INSERT GASTRIC BALLOON                        ",44.93
44.94,"REMOVAL GASTRIC BALLOON                       ",44.94
44.99,"GASTRIC OPERATION NEC                         ",44.99
45,"INTESTINAL INCISION NOS                       ",45
45.01,"DUODENAL INCISION                             ",45.01
45.02,"SMALL BOWEL INCISION NEC                      ",45.02
45.03,"LARGE BOWEL INCISION                          ",45.03
45.11,"TRANSAB SM BOWEL ENDOSC                       ",45.11
45.12,"ENDOSC SM BOWEL THRU ST                       ",45.12
45.13,"SM BOWEL ENDOSCOPY NEC                        ",45.13
45.14,"ENDOSCOPIC SM BOWEL BX                        ",45.14
45.15,"OPEN BIOPSY SMALL BOWEL                       ",45.15
45.16,"EGD WITH CLOSED BIOPSY                        ",45.16
45.19,"SM BOWEL DX PROC NEC                          ",45.19
45.21,"TRANSAB LG BOWEL ENDOSC                       ",45.21
45.22,"ENDOSC LG BOWEL THRU ST                       ",45.22
45.23,"COLONOSCOPY                                   ",45.23
45.24,"FLEXIBLE SIGMOIDOSCOPY                        ",45.24
45.25,"ENDOSCOPIC LG BOWEL BX                        ",45.25
45.26,"OPEN BIOPSY LARGE BOWEL                       ",45.26
45.27,"INTESTINAL BIOPSY NOS                         ",45.27
45.28,"LG BOWEL DX PROCED NEC                        ",45.28
45.29,"BOWEL DIAGNOST PROC NEC                       ",45.29
45.3,"ENDOSC DESTRUCT DUOD LES                      ",45.3
45.31,"LOC EXCIS'N DUODENUM NEC                      ",45.31
45.32,"DESTRUCT DUODEN LES NEC                       ",45.32
45.33,"LOCAL EXCIS SM BOWEL NEC                      ",45.33
45.34,"DESTR SM BOWEL LES NEC                        ",45.34
45.41,"LOCAL EXCISION LG BOWEL                       ",45.41
45.42,"ENDOSC COLON POLYPECTOMY                      ",45.42
45.43,"ENDSC DSTRCT COL LES NEC                      ",45.43
45.49,"DESTRUC LG BOWEL LES NEC                      ",45.49
45.5,"INTEST SEG ISOLAT NOS                         ",45.5
45.51,"SM BOWEL SEGMENT ISOLAT                       ",45.51
45.52,"LG BOWEL SEGMENT ISOLAT                       ",45.52
45.61,"MULT SEG SM BOWEL EXCIS                       ",45.61
45.62,"PART SM BOWEL RESECT NEC                      ",45.62
45.63,"TOTAL REMOVAL SM BOWEL                        ",45.63
45.71,"MULT SEG LG BOWEL EXCIS                       ",45.71
45.72,"CECECTOMY                                     ",45.72
45.73,"RIGHT HEMICOLECTOMY                           ",45.73
45.74,"TRANSVERSE COLON RESECT                       ",45.74
45.75,"LEFT HEMICOLECTOMY                            ",45.75
45.76,"SIGMOIDECTOMY                                 ",45.76
45.79,"PART LG BOWEL EXCIS NEC                       ",45.79
45.8,"TOT INTRA-ABD COLECTOMY                       ",45.8
45.9,"INTESTINAL ANASTOM NOS                        ",45.9
45.91,"SM-TO-SM BOWEL ANASTOM                        ",45.91
45.92,"SM BOWEL-RECT STUMP ANAS                      ",45.92
45.93,"SMALL-TO-LARGE BOWEL NEC                      ",45.93
45.94,"LG-TO-LG BOWEL ANASTOM                        ",45.94
45.95,"SM BOWEL-ANUS ANASTOMOS                       ",45.95
46.01,"SM BOWEL EXTERIORIZATION                      ",46.01
46.02,"RESECT EXT SEG SM BOWEL                       ",46.02
46.03,"LG BOWEL EXTERIORIZATION                      ",46.03
46.04,"RESECT EXT SEG LG BOWEL                       ",46.04
46.1,"COLOSTOMY NOS                                 ",46.1
46.11,"TEMPORARY COLOSTOMY                           ",46.11
46.13,"PERMANENT COLOSTOMY                           ",46.13
46.14,"DELAY OPENING COLOSTOMY                       ",46.14
46.2,"ILEOSTOMY NOS                                 ",46.2
46.21,"TEMPORARY ILEOSTOMY                           ",46.21
46.22,"CONTINENT ILEOSTOMY                           ",46.22
46.23,"PERMANENT ILEOSTOMY NEC                       ",46.23
46.24,"DELAY OPENING ILEOSTOMY                       ",46.24
46.31,"DELAY OPENING ENTEROSTOM                      ",46.31
46.32,"PERCUTANEOUS JEJUNOSTOMY                      ",46.32
46.39,"ENTEROSTOMY NEC                               ",46.39
46.4,"INTEST STOMA REVIS NOS                        ",46.4
46.42,"PERICOLOST HERNIA REPAIR                      ",46.42
46.43,"LG BOWEL STOMA REVIS NEC                      ",46.43
46.5,"INTEST STOMA CLOSURE NOS                      ",46.5
46.51,"SM BOWEL STOMA CLOSURE                        ",46.51
46.52,"LG BOWEL STOMA CLOSURE                        ",46.52
46.6,"INTESTINAL FIXATION NOS                       ",46.6
46.61,"SM BOWEL-ABD WALL FIXAT                       ",46.61
46.62,"SMALL BOWEL FIXATION NEC                      ",46.62
46.63,"LG BOWEL-ABD WALL FIXAT                       ",46.63
46.64,"LARGE BOWEL FIXATION NEC                      ",46.64
46.71,"DUODENAL LACERAT SUTURE                       ",46.71
46.72,"DUODENAL FISTULA CLOSURE                      ",46.72
46.73,"SMALL BOWEL SUTURE NEC                        ",46.73
46.74,"CLOSE SM BOWEL FIST NEC                       ",46.74
46.75,"SUTURE LG BOWEL LACERAT                       ",46.75
46.76,"CLOSE LG BOWEL FISTULA                        ",46.76
46.79,"REPAIR OF INTESTINE NEC                       ",46.79
46.8,"INTRA-AB BOWEL MANIP NOS                      ",46.8
46.81,"INTRA-ABD SM BOWEL MANIP                      ",46.81
46.82,"INTRA-ABD LG BOWEL MANIP                      ",46.82
46.85,"DILATION OF INTESTINE                         ",46.85
46.91,"MYOTOMY OF SIGMOID COLON                      ",46.91
46.92,"MYOTOMY OF COLON NEC                          ",46.92
46.93,"REVISE SM BOWEL ANASTOM                       ",46.93
46.94,"REVISE LG BOWEL ANASTOM                       ",46.94
46.95,"LOCAL SM BOWEL PERFUSION                      ",46.95
46.96,"LOCAL LG BOWEL PERFUSION                      ",46.96
46.99,"INTESTINAL OP NEC                             ",46.99
47,"APPENDECTOMY                                  ",47
47.1,"INCIDENTAL APPENDECTOMY                       ",47.1
47.2,"DRAIN APPENDICEAL ABSC                        ",47.2
47.41,"SM BOWEL STOMA REVISION                       ",46.41
47.91,"APPENDICOSTOMY                                ",47.91
47.92,"CLOSE APPENDICEAL FISTUL                      ",47.92
47.99,"APPENDICEAL OPS NEC                           ",47.99
48,"PROCTOTOMY                                    ",48
48.1,"PROCTOSTOMY                                   ",48.1
48.21,"TRANSAB PROCTOSIGMOIDOSC                      ",48.21
48.22,"PROCTOSIGMOIDOSC THRU ST                      ",48.22
48.23,"RIGID PROCTSIGMOIDOSCOPY                      ",48.23
48.24,"ENDOSCOPIC RECTAL BIOPSY                      ",48.24
48.25,"OPEN BIOPSY OF RECTUM                         ",48.25
48.26,"PERIRECTAL TISSUE BIOPSY                      ",48.26
48.29,"RECT/PERIRECT DX OP NEC                       ",48.29
48.31,"RAD ELECTROCOAG-RECT LES                      ",48.31
48.32,"ELECTROCOAG RECT LES NEC                      ",48.32
48.33,"LASER DESTRUC RECTAL LES                      ",48.33
48.34,"CRYOSURG DESTR RECT LES                       ",48.34
48.35,"LOCAL EXCIS RECTAL LES                        ",48.35
48.41,"SOAVE SUBMUC RECT RESECT                      ",48.41
48.49,"PULL-THRU RECT RESEC NEC                      ",48.49
48.5,"ABD-PERINEAL RECT RESECT                      ",48.5
48.61,"TRANSSAC RECTOSIGMOIDECT                      ",48.61
48.62,"ANT RECT RESECT W COLOST                      ",48.62
48.63,"ANTERIOR RECT RESECT NEC                      ",48.63
48.64,"POSTERIOR RECT RESECTION                      ",48.64
48.65,"DUHAMEL RECTAL RESECTION                      ",48.65
