"DIAG","DIAG_DESC","DIAG_C","DIAG_5"
360,"PANUVEITIS                                 ",360.12,36012
360,"PARASITIC ENDOPHTHAL NOS                   ",360.13,36013
360,"OPHTHALMIA NODOSA                          ",360.14,36014
360,"ENDOPHTHALMITIS NEC                        ",360.19,36019
360,"DEGENERAT GLOBE DIS NOS                    ",360.2,36020
360,"PROGRESSIVE HIGH MYOPIA                    ",360.21,36021
360,"SIDEROSIS                                  ",360.23,36023
360,"OTHER METALLOSIS",NA,NA
360,"DEGENERATIVE GLOBE NEC                     ",360.29,36029
360,"HYPOTONY NOS",NA,NA
360,"PRIMARY HYPOTONY                           ",360.31,36031
360,"HYPOTONY DUE TO FISTULA                    ",360.32,36032
360,"HYPOTONY W EYE DIS NEC                     ",360.33,36033
360,"FLAT ANTERIOR CHAMBER                      ",360.34,36034
360,"DEGENERATION OF EYE NOS                    ",360.4,36040
360,"BLIND HYPOTENSIVE EYE                      ",360.41,36041
360,"BLIND HYPERTENSIVE EYE                     ",360.42,36042
360,"HEMOPHTHALMOS                              ",360.43,36043
360,"LEUCOCORIA                                 ",360.44,36044
360,"OLD MAGNET FB",NA,NA
360,"OLD MAGNET FB",NA,NA
360,"OLD MAGNET FB",NA,NA
360,"OLD MAGNET FB",NA,NA
360,"OLD MAGNET FB",NA,NA
360,"OLD MAGNET FB",NA,NA
360,"OLD MAGNET FB",NA,NA
360,"INTRAOCULAR FB NOS                         ",360.6,36060
360,"FB IN ANTERIOR CHAMBER                     ",360.61,36061
360,"FB IN IRIS OR CILIARY                      ",360.62,36062
360,"FOREIGN BODY IN LENS                       ",360.63,36063
360,"FOREIGN BODY IN VITREOUS                   ",360.64,36064
360,"FB IN POSTERIOR WALL                       ",360.65,36065
360,"INTRAOCULAR FB NEC                         ",360.69,36069
360,"LUXATION OF GLOBE                          ",360.81,36081
360,"DISORDER OF GLOBE NEC                      ",360.89,36089
360,"DISORDER OF GLOBE NOS                      ",360.9,3609
361,"DETACHMNT W DEFECT NOS                     ",361,36100
361,"PART DETACH-SINGL DEFEC                    ",361.01,36101
361,"PART DETACH-MULT DEFECT                    ",361.02,36102
361,"PART DETACH-GIANT TEAR                     ",361.03,36103
361,"PART DETACH-DIALYSIS                       ",361.04,36104
361,"RECENT DETACHMENT",NA,NA
361,"OLD DETACHMENT",NA,NA
361,"OLD DETACHMENT",NA,NA
361,"RETINOSCHISIS NOS                          ",361.1,36110
361,"FLAT RETINOSCHISIS                         ",361.11,36111
361,"BULLOUS RETINOSCHISIS                      ",361.12,36112
361,"PRIMARY RETINAL CYSTS                      ",361.13,36113
361,"SECONDARY RETINAL CYSTS                    ",361.14,36114
361,"RETINOSHISIS OR CYST NEC                   ",361.19,36119
361,"SEROUS RETINA DETACHMENT                   ",361.2,3612
361,"RETINAL DEFECT NOS                         ",361.3,36130
361,"ROUND HOLE OF RETINA                       ",361.31,36131
361,"HORSESHOE TEAR OF RETINA                   ",361.32,36132
361,"MULT DEFECTS OF RETINA                     ",361.33,36133
361,"RETINAL TRACTION DETACH                    ",361.81,36181
361,"RETINAL DETACHMENT NEC                     ",361.89,36189
361,"RETINAL DETACHMENT NOS                     ",361.9,3619
362,"DIABETIC RETINOPATHY NOS                   ",362.01,36201
362,"PROLIF DIAB RETINOPATHY                    ",362.02,36202
362,"BACKGRND RETINOPATHY NOS                   ",362.1,36210
362,"HYPERTENSIVE RETINOPATHY                   ",362.11,36211
362,"EXUDATIVE RETINOPATHY                      ",362.12,36212
362,"RETINAL VASCULAR CHANGES                   ",362.13,36213
362,"RETINA MICROANEURYSM NOS                   ",362.14,36214
362,"RETINAL TELANGIECTASIA                     ",362.15,36215
362,"RETINAL NEOVASCULAR NOS                    ",362.16,36216
362,"RETINAL VARICES                            ",362.17,36217
362,"RETINAL VASCULITIS                         ",362.18,36218
362,"RETROLENTAL FIBROPLASIA                    ",362.21,36221
362,"PROLIF RETINOPATHY NEC                     ",362.29,36229
362,"RETINAL VASC OCCLUS NOS                    ",362.3,36230
362,"CENT RETINA ARTERY OCCLU                   ",362.31,36231
362,"ARTERIAL BRANCH OCCLUS                     ",362.32,36232
362,"PART ARTERIAL OCCLUSION                    ",362.33,36233
362,"TRANSIENT ARTERIAL OCCLU                   ",362.34,36234
362,"CENT RETINAL VEIN OCCLUS                   ",362.35,36235
362,"VENOUS TRIBUTARY OCCLUS                    ",362.36,36236
362,"RETINA VENOUS ENGORGEMNT                   ",362.37,36237
362,"RETINA LAYER SEPARAT NOS                   ",362.4,36240
362,"CENT SEROUS RETINOPATHY                    ",362.41,36241
362,"SEROUS DETACH PIGM EPITH                   ",362.42,36242
362,"HEM DETACH PIGMNT EPITH                    ",362.43,36243
362,"MACULAR DEGENERATION NOS                   ",362.5,36250
362,"NONEXUDAT MACULAR DEGEN                    ",362.51,36251
362,"EXUDATIVE MACULAR DEGEN                    ",362.52,36252
362,"CYSTOID MACULAR DEGEN                      ",362.53,36253
362,"MACULAR CYST OR HOLE                       ",362.54,36254
362,"TOXIC MACULOPATHY                          ",362.55,36255
362,"MACULAR PUCKERING                          ",362.56,36256
362,"DRUSEN (DEGENERATIVE)                      ",362.57,36257
362,"PERIPH RETINA DEGEN NOS                    ",362.6,36260
362,"PAVING STONE DEGENERAT                     ",362.61,36261
362,"MICROCYSTOID DEGENERAT                     ",362.62,36262
362,"LATTICE DEGENERATION                       ",362.63,36263
362,"SENILE RETICULAR DEGEN                     ",362.64,36264
362,"SECONDRY PIGMENT DEGEN                     ",362.65,36265
362,"SEC VITREORETINA DEGEN                     ",362.66,36266
362,"HERED RETIN DYSTRPHY NOS                   ",362.7,36270
362,"RET DYSTRPH IN LIPIDOSES                   ",362.71,36271
362,"RET DYSTRPH IN SYST DIS                    ",362.72,36272
362,"VITREORETINAL DYSTROPHY                    ",362.73,36273
362,"PIGMENT RETINA DYSTROPHY                   ",362.74,36274
362,"SENSORY RETINA DYSTROPHY                   ",362.75,36275
362,"VITELLIFORM DYSTROPHY                      ",362.76,36276
362,"BRUCH MEMBRANE DYSTROPHY                   ",362.77,36277
362,"RETINAL HEMORRHAGE                         ",362.81,36281
362,"RETINA EXUDATES/DEPOSITS                   ",362.82,36282
362,"RETINAL EDEMA                              ",362.83,36283
362,"RETINAL ISCHEMIA                           ",362.84,36284
362,"RETINAL NERV FIBER DEFEC                   ",362.85,36285
362,"RETINAL DISORDERS NEC                      ",362.89,36289
362,"RETINAL DISORDER NOS                       ",362.9,3629
363,"FOCAL CHORIORETINIT NOS                    ",363,36300
363,"JUXTAPAP FOC CHOROIDITIS                   ",363.01,36301
363,"FOC CHOROIDITIS POST NEC                   ",363.03,36303
363,"PERIPH FOCAL CHOROIDITIS                   ",363.04,36304
363,"JUXTAPAP FOCAL RETINITIS                   ",363.05,36305
363,"MACULAR FOCAL RETINITIS                    ",363.06,36306
363,"FOC RETINITIS POST NEC                     ",363.07,36307
363,"PERIPH FOCAL RETINITIS                     ",363.08,36308
363,"DISSEM CHORIORETINIT NOS                   ",363.1,36310
363,"DISSEM CHOROIDITIS",NA,NA
363,"PERIPH DISEM CHOROIDITIS                   ",363.12,36312
363,"GEN DISSEM CHOROIDITIS                     ",363.13,36313
363,"METASTAT DISSEM RETINIT                    ",363.14,36314
363,"PIGMENT EPITHELIOPATHY                     ",363.15,36315
363,"CHORIORETINITIS NOS                        ",363.2,36320
363,"PARS PLANITIS                              ",363.21,36321
363,"HARADA'S DISEASE                           ",363.22,36322
363,"CHORIORETINAL SCAR NOS                     ",363.3,36330
363,"SOLAR RETINOPATHY                          ",363.31,36331
363,"MACULAR SCARS NEC                          ",363.32,36332
363,"POSTERIOR POLE SCAR NEC                    ",363.33,36333
363,"PERIPHERAL RETINAL SCARS                   ",363.34,36334
363,"DISSEMINATED RETINA SCAR                   ",363.35,36335
363,"CHOROIDAL DEGEN NOS                        ",363.4,36340
363,"SENILE ATROPHY",NA,NA
363,"DIFUS SEC ATROPH CHOROID                   ",363.42,36342
363,"ANGIOID STREAKS",NA,NA
363,"HERED CHOROID ATROPH NOS                   ",363.5,36350
363,"PRT CIRCMPAP CHOROID DYS                   ",363.51,36351
363,"TOT CIRCMPAP CHOROID DYS                   ",363.52,36352
363,"PART CENT CHOROID DYSTR                    ",363.53,36353
363,"TOT CENT CHOROID ATROPHY                   ",363.54,36354
363,"CHOROIDEREMIA                              ",363.55,36355
363,"PRT GEN CHOROID DYST NEC                   ",363.56,36356
363,"TOT GEN CHOROID DYST NEC                   ",363.57,36357
363,"CHOROIDAL HEMORRHAGE NOS                   ",363.61,36361
363,"EXPULSIVE CHOROID HEMORR                   ",363.62,36362
363,"CHOROIDAL RUPTURE                          ",363.63,36363
363,"CHOROIDAL DETACHMENT NOS                   ",363.7,36370
363,"SEROUS CHOROID DETACHMNT                   ",363.71,36371
363,"HEMORR CHOROID DETACHMNT                   ",363.72,36372
363,"DISORDERS OF CHOROID NEC                   ",363.8,3638
363,"CHOROIDAL DISORDER NOS                     ",363.9,3639
364,"ACUTE IRIDOCYCLITIS NOS                    ",364,36400
364,"PRIMARY IRIDOCYCLITIS                      ",364.01,36401
364,"RECURRENT IRIDOCYCLITIS                    ",364.02,36402
364,"SECONDRY IRITIS",NA,NA
364,"SECOND IRITIS",NA,NA
364,"HYPOPYON                                   ",364.05,36405
364,"CHR IRIDOCYCLITIS NOS                      ",364.1,36410
364,"CHR IRIDOCYL IN OTH DIS                    ",364.11,36411
364,"FUCH HETROCHROM CYCLITIS                   ",364.21,36421
364,"GLAUCOMATOCYCLIT CRISES                    ",364.22,36422
364,"LENS-INDUCED IRIDOCYCLIT                   ",364.23,36423
364,"VOGT-KOYANAGI SYNDROME                     ",364.24,36424
364,"IRIDOCYCLITIS NOS                          ",364.3,3643
364,"HYPHEMA                                    ",364.41,36441
364,"RUBEOSIS IRIDIS                            ",364.42,36442
364,"PROGRESSIVE IRIS ATROPHY                   ",364.51,36451
364,"IRIDOSCHISIS                               ",364.52,36452
364,"PIGMENT IRIS DEGENERAT                     ",364.53,36453
364,"PUPILLARY MARGIN DEGEN                     ",364.54,36454
364,"MIOTIC CYST PUPIL MARGIN                   ",364.55,36455
364,"DEGEN CHAMBER ANGLE                        ",364.56,36456
364,"DEGEN CILIARY BODY                         ",364.57,36457
364,"IRIS ATROPHY NEC                           ",364.59,36459
364,"IDIOPATHIC CYSTS                           ",364.6,36460
364,"IMPLANTATION CYSTS                         ",364.61,36461
364,"EXUD CYST IRIS/ANT CHAMB                   ",364.62,36462
364,"PRIMARY CYST PARS PLANA                    ",364.63,36463
364,"EXUDAT CYST PARS PLANA                     ",364.64,36464
364,"ADHESIONS OF IRIS NOS                      ",364.7,36470
364,"POSTERIOR SYNECHIAE                        ",364.71,36471
364,"ANTERIOR SYNECHIAE                         ",364.72,36472
364,"GONIOSYNECHIAE                             ",364.73,36473
364,"PUPILLARY MEMBRANES                        ",364.74,36474
364,"PUPILLARY ABNORMALITIES                    ",364.75,36475
364,"IRIDODIALYSIS                              ",364.76,36476
364,"RECESSION",NA,NA
364,"IRIS/CILIARY DIS NEC                       ",364.8,3648
364,"IRIS/CILIARY DIS NOS                       ",364.9,3649
365,"PREGLAUCOMA NOS                            ",365,36500
365,"OPN ANGL W BORDERLN FIND                   ",365.01,36501
365,"ANATOMICAL NARROW ANGLE                    ",365.02,36502
365,"STEROID RESPONDERS                         ",365.03,36503
365,"OCULAR HYPERTENSION                        ",365.04,36504
365,"OPEN-ANGLE GLAUCOMA NOS                    ",365.1,36510
365,"PRIM OPEN ANGLE GLAUCOMA                   ",365.11,36511
365,"LOW TENSION GLAUCOMA                       ",365.12,36512
365,"PIGMENTARY GLAUCOMA                        ",365.13,36513
365,"GLAUCOMA OF CHILDHOOD                      ",365.14,36514
365,"RESIDUAL OPN ANG GLAUCMA                   ",365.15,36515
365,"PRIM ANGL-CLOS GLAUC NOS                   ",365.2,36520
365,"INTERMIT ANGL-CLOS GLAUC                   ",365.21,36521
365,"ACUTE ANGL-CLOS GLAUCOMA                   ",365.22,36522
365,"CHR ANGLE-CLOS GLAUCOMA                    ",365.23,36523
365,"RESIDUAL ANGL-CLOS GLAUC                   ",365.24,36524
365,"GLAUC STAGE-STER INDUCED                   ",365.31,36531
365,"GLAUC RESID-STER INDUCED                   ",365.32,36532
365,"GLAUC W CHAMB ANGLE ANOM                   ",365.41,36541
365,"GLAUCOMA W IRIS ANOMALY                    ",365.42,36542
365,"GLAUC W ANT SEG ANOM NEC                   ",365.43,36543
365,"GLAUCOMA W SYSTEMIC SYND                   ",365.44,36544
365,"PHACOLYTIC GLAUCOMA                        ",365.51,36551
365,"PSEUDOEXFOLIAT GLAUCOMA                    ",365.52,36552
365,"GLAUCOMA W LENS DIS NEC                    ",365.59,36559
365,"GLAUC W OCULAR DIS NOS                     ",365.6,36560
365,"GLAUC W PUPILLARY BLOCK                    ",365.61,36561
365,"GLAUCOMA W OCULAR INFLAM                   ",365.62,36562
365,"GLAUCOMA W VASCULAR DIS                    ",365.63,36563
365,"GLAUCOMA W TUMOR OR CYST                   ",365.64,36564
365,"GLAUCOMA W OCULAR TRAUMA                   ",365.65,36565
365,"HYPERSECRETION GLAUCOMA                    ",365.81,36581
365,"GLAUC W INC EPISCL PRESS                   ",365.82,36582
365,"GLAUCOMA NEC                               ",365.89,36589
365,"GLAUCOMA NOS                               ",365.9,3659
366,"NONSENILE CATARACT NOS                     ",366,36600
366,"ANT SUBCAPS POL CATARACT                   ",366.01,36601
366,"POST SUBCAPS POL CATARCT                   ",366.02,36602
366,"CORTICAL CATARACT                          ",366.03,36603
366,"NUCLEAR CATARACT                           ",366.04,36604
366,"NONSENILE CATARACT NEC                     ",366.09,36609
366,"SENILE CATARACT NOS                        ",366.1,36610
366,"PSEUDOEXFOL LENS CAPSULE                   ",366.11,36611
366,"INCIPIENT CATARACT                         ",366.12,36612
366,"ANT SUBCAPS SENILE CATAR                   ",366.13,36613
366,"POST SUBCAP SENILE CATAR                   ",366.14,36614
366,"CORTICAL SENILE CATARACT                   ",366.15,36615
366,"SENILE NUCLEAR CATARACT                    ",366.16,36616
366,"MATURE CATARACT                            ",366.17,36617
366,"HYPERMATURE CATARACT                       ",366.18,36618
366,"SENILE CATARACT NEC                        ",366.19,36619
366,"TRAUMATIC CATARACT NOS                     ",366.2,36620
366,"LOCAL TRAUMATIC OPACITY                    ",366.21,36621
366,"TOTAL TRAUMATIC CATARACT                   ",366.22,36622
366,"PART RESOLV TRAUM CATAR                    ",366.23,36623
366,"CATARACTA COMPLICATA NOS                   ",366.3,36630
366,"GLAUCOMATOUS FLECKS                        ",366.31,36631
366,"CATARACT IN INFLAM DIS                     ",366.32,36632
366,"CATARACT W NEOVASCULIZAT                   ",366.33,36633
366,"CATARACT IN DEGEN DIS                      ",366.34,36634
366,"DIABETIC CATARACT                          ",366.41,36641
366,"TETANIC CATARACT                           ",366.42,36642
366,"MYOTONIC CATARACT                          ",366.43,36643
366,"CATARACT W SYNDROME NEC                    ",366.44,36644
366,"TOXIC CATARACT                             ",366.45,36645
366,"CATARACT W RADIATION                       ",366.46,36646
366,"AFTER-CATARACT NOS                         ",366.5,36650
366,"SOEMMERING'S RING                          ",366.51,36651
366,"AFTER-CATARACT NEC                         ",366.52,36652
366,"AFTR-CATAR OBSCUR VISION                   ",366.53,36653
366,"CATARACT NEC                               ",366.8,3668
366,"CATARACT NOS                               ",366.9,3669
367,"HYPERMETROPIA                              ",367,3670
367,"MYOPIA                                     ",367.1,3671
367,"ASTIGMATISM NOS                            ",367.2,36720
367,"REGULAR ASTIGMATISM                        ",367.21,36721
367,"IRREGULAR ASTIGMATISM                      ",367.22,36722
367,"ANISOMETROPIA                              ",367.31,36731
367,"ANISEIKONIA                                ",367.32,36732
367,"PRESBYOPIA                                 ",367.4,3674
367,"PARESIS OF ACCOMMODATION                   ",367.51,36751
367,"TOT INTERN OPHTHALMOPLEG                   ",367.52,36752
367,"SPASM OF ACCOMMODATION                     ",367.53,36753
367,"TRANSIENT REFRACT CHANGE                   ",367.81,36781
367,"REFRACTION DISORDER NEC                    ",367.89,36789
367,"REFRACTION DISORDER NOS                    ",367.9,3679
368,"AMBLYOPIA NOS                              ",368,36800
368,"STRABISMIC AMBLYOPIA                       ",368.01,36801
368,"DEPRIVATION AMBLYOPIA                      ",368.02,36802
368,"REFRACTIVE AMBLYOPIA                       ",368.03,36803
368,"SUBJ VISUAL DISTURB NOS                    ",368.1,36810
368,"SUDDEN VISUAL LOSS                         ",368.11,36811
368,"TRANSIENT VISUAL LOSS                      ",368.12,36812
368,"VISUAL DISCOMFORT                          ",368.13,36813
368,"DISTORTION OF SHAPE/SIZE                   ",368.14,36814
368,"VISUAL DISTORTIONS NEC                     ",368.15,36815
368,"PSYCHOPHYSIC VISUAL DIST                   ",368.16,36816
368,"DIPLOPIA                                   ",368.2,3682
368,"BINOCULAR VISION DIS NOS                   ",368.3,36830
368,"BINOCULAR VIS SUPPRESS                     ",368.31,36831
368,"VISUAL PERCEPT W/O FUSN                    ",368.32,36832
368,"FUSION W DEF STEREOPSIS                    ",368.33,36833
368,"ABN RETINA CORRESPOND                      ",368.34,36834
368,"VISUAL FIELD DEFECT NOS                    ",368.4,36840
368,"CENTRAL SCOTOMA                            ",368.41,36841
368,"SCOTOMA OF BLIND SPOT                      ",368.42,36842
368,"SECTOR OR ARCUATE DEFECT                   ",368.43,36843
368,"VISUAL FIELD DEFECT NEC                    ",368.44,36844
368,"GEN VISUAL CONTRACTION                     ",368.45,36845
368,"HOMONYMOUS HEMIANOPSIA                     ",368.46,36846
368,"HETERONYMOUS HEMIANOPSIA                   ",368.47,36847
368,"PROTAN DEFECT                              ",368.51,36851
368,"DEUTAN DEFECT                              ",368.52,36852
368,"TRITAN DEFECT                              ",368.53,36853
368,"ACHROMATOPSIA                              ",368.54,36854
368,"ACQ COLOR DEFICIENCY                       ",368.55,36855
368,"COLOR DEFICIENCY NEC                       ",368.59,36859
368,"NIGHT BLINDNESS NOS                        ",368.6,36860
368,"CONGEN NIGHT BLINDNESS                     ",368.61,36861
368,"ACQUIRED NIGHT BLINDNESS                   ",368.62,36862
368,"ABN DARK ADAPTAT CURVE                     ",368.63,36863
368,"NIGHT BLINDNESS NEC                        ",368.69,36869
368,"VISUAL DISTURBANCES NEC                    ",368.8,3688
368,"VISUAL DISTURBANCE NOS                     ",368.9,3689
369,"BOTH EYES BLIND-WHO DEF                    ",369,36900
369,"TOT IMPAIRMENT-BOTH EYES                   ",369.01,36901
369,"ONE EYE-NEAR TOT/OTH-NOS                   ",369.02,36902
369,"ONE EYE-NEAR TOT/OTH-TOT                   ",369.03,36903
369,"NEAR-TOT IMPAIR-BOTH EYE                   ",369.04,36904
369,"ONE EYE-PROFOUND/OTH-NOS                   ",369.05,36905
369,"ONE EYE-PROFOUND/OTH-TOT                   ",369.06,36906
369,"ONE EYE-PRFND/OTH-NR TOT                   ",369.07,36907
369,"PROFOUND IMPAIR BOTH EYE                   ",369.08,36908
369,"BLINDNESS/LOW VISION                       ",369.1,36910
369,"1 EYE-SEV/OTH-BLIND NOS                    ",369.11,36911
369,"ONE EYE-SEVERE/OTH-TOTAL                   ",369.12,36912
369,"ONE EYE-SEV/OTH-NEAR TOT                   ",369.13,36913
369,"ONE EYE-SEV/OTH-PRFND                      ",369.14,36914
369,"ONE EYE-MOD/OTH-BLIND                      ",369.15,36915
369,"ONE EYE-MODERATE/OTH-TOT                   ",369.16,36916
369,"ONE EYE-MOD/OTH-NEAR TOT                   ",369.17,36917
369,"ONE EYE-MOD/OTH-PROFOUND                   ",369.18,36918
369,"LOW VISION",NA,NA
369,"ONE EYE-SEVERE/OTH-NOS                     ",369.21,36921
369,"SEVERE IMPAIR-BOTH EYES                    ",369.22,36922
369,"ONE EYE-MODERATE/OTH-NOS                   ",369.23,36923
369,"ONE EYE-MODERATE/OTH-SEV                   ",369.24,36924
369,"MODERATE IMPAIR-BOTH EYE                   ",369.25,36925
369,"BLINDNESS NOS",NA,NA
369,"LEGAL BLINDNESS-USA DEF                    ",369.4,3694
369,"BLINDNESS",NA,NA
369,"ONE EYE-TOTAL/OTH-UNKNWN                   ",369.61,36961
369,"ONE EYE-TOT/OTH-NEAR NOR                   ",369.62,36962
369,"ONE EYE-TOTAL/OTH-NORMAL                   ",369.63,36963
369,"ONE EYE-NEAR TOT/OTH-NOS                   ",369.64,36964
369,"NEAR-TOT IMP/NEAR-NORMAL                   ",369.65,36965
369,"NEAR-TOTAL IMPAIR/NORMAL                   ",369.66,36966
369,"ONE EYE-PRFOUND/OTH-UNKN                   ",369.67,36967
369,"PROFND IMPAIR/NEAR NORM                    ",369.68,36968
369,"PROFOUND IMPAIR/NORMAL                     ",369.69,36969
369,"LOW VISION",NA,NA
369,"ONE EYE-SEVERE/OTH-UNKNW                   ",369.71,36971
369,"ONE EYE-SEV/OTH-NR NORM                    ",369.72,36972
369,"ONE EYE-SEVERE/OTH-NORM                    ",369.73,36973
369,"ONE EYE-MOD/OTHER-UNKNWN                   ",369.74,36974
369,"ONE EYE-MOD/OTH-NR NORM                    ",369.75,36975
369,"ONE EYE-MOD/OTH NORMAL                     ",369.76,36976
369,"VISUAL LOSS",NA,NA
369,"VISUAL LOSS NOS                            ",369.9,3699
370,"CORNEAL ULCER NOS                          ",370,37000
370,"MARGINAL CORNEAL ULCER                     ",370.01,37001
370,"RING CORNEAL ULCER                         ",370.02,37002
370,"CENTRAL CORNEAL ULCER                      ",370.03,37003
370,"HYPOPYON ULCER                             ",370.04,37004
370,"MYCOTIC CORNEAL ULCER                      ",370.05,37005
370,"PERFORATED CORNEAL ULCER                   ",370.06,37006
370,"MOOREN'S ULCER                             ",370.07,37007
370,"SUPERFIC KERATITIS NOS                     ",370.2,37020
370,"PUNCTATE KERATITIS                         ",370.21,37021
370,"MACULAR KERATITIS                          ",370.22,37022
370,"FILAMENTARY KERATITIS                      ",370.23,37023
370,"PHOTOKERATITIS                             ",370.24,37024
370,"PHLYCTEN KERATOCONJUNCT                    ",370.31,37031
370,"LIMBAR KERATOCONJUNCTIV                    ",370.32,37032
370,"KERATOCONJUNCTIVIT SICCA                   ",370.33,37033
370,"EXPSURE KERATOCONJUNCTIV                   ",370.34,37034
370,"NEUROTROPH KERATOCONJUNC                   ",370.35,37035
370,"KERATOCONJUNCTIVITIS NOS                   ",370.4,37040
370,"KERATITIS IN EXANTHEMA                     ",370.44,37044
370,"KERATOCONJUNCTIVITIS NEC                   ",370.49,37049
370,"INTERSTIT KERATITIS NOS                    ",370.5,37050
370,"DIFFUS INTERSTIT KERATIT                   ",370.52,37052
370,"SCLEROSING KERATITIS                       ",370.54,37054
370,"CORNEAL ABSCESS                            ",370.55,37055
370,"INTERSTIT KERATITIS NEC                    ",370.59,37059
370,"CORNEA NEOVASCULARIZ NOS                   ",370.6,37060
370,"LOCAL VASCULARIZA CORNEA                   ",370.61,37061
370,"CORNEAL PANNUS                             ",370.62,37062
370,"DEEP VASCULARIZA CORNEA                    ",370.63,37063
370,"CORNEAL GHOST VESSELS                      ",370.64,37064
370,"KERATITIS NEC                              ",370.8,3708
370,"KERATITIS NOS                              ",370.9,3709
371,"CORNEAL OPACITY NOS                        ",371,37100
371,"MINOR OPACITY OF CORNEA                    ",371.01,37101
371,"PERIPH OPACITY OF CORNEA                   ",371.02,37102
371,"CENTRAL OPACITY",NA,NA
371,"ADHERENT LEUCOMA                           ",371.04,37104
371,"PHTHISICAL CORNEA                          ",371.05,37105
371,"CORNEAL DEPOSIT NOS                        ",371.1,37110
371,"ANT CORNEA PIGMENTATION                    ",371.11,37111
371,"STROMAL CORNEA PIGMENT                     ",371.12,37112
371,"POST CORNEA PIGMENTATION                   ",371.13,37113
371,"KAYSER-FLEISCHER RING                      ",371.14,37114
371,"OTH DEPOSIT W METAB DIS                    ",371.15,37115
371,"ARGENTOUS CORNEA DEPOSIT                   ",371.16,37116
371,"CORNEAL EDEMA NOS                          ",371.2,37120
371,"IDIOPATHIC CORNEAL EDEMA                   ",371.21,37121
371,"SECONDARY CORNEAL EDEMA                    ",371.22,37122
371,"BULLOUS KERATOPATHY                        ",371.23,37123
371,"EDEMA D/T CONTACT LENS                     ",371.24,37124
371,"CORNEA MEMB CHANGE NOS                     ",371.3,37130
371,"FOLD OF BOWMAN MEMBRANE                    ",371.31,37131
371,"FOLD IN DESCEMET MEMBRAN                   ",371.32,37132
371,"RUPTURE DESCEMET MEMBRAN                   ",371.33,37133
371,"CORNEAL DEGENERATION NOS                   ",371.4,37140
371,"SENILE CORNEAL CHANGES                     ",371.41,37141
371,"RECURRENT CORNEA EROSION                   ",371.42,37142
371,"BAND-SHAPED KERATOPATHY                    ",371.43,37143
371,"CALCER CORNEA DEGEN NEC                    ",371.44,37144
371,"KERATOMALACIA NOS                          ",371.45,37145
371,"NODULAR CORNEA DEGEN                       ",371.46,37146
371,"PERIPHERAL CORNEA DEGEN                    ",371.48,37148
371,"CORNEA DEGENERATION NEC                    ",371.49,37149
371,"CORNEAL DYSTROPHY NOS                      ",371.5,37150
371,"JUV EPITH CORNEA DYSTRPH                   ",371.51,37151
371,"ANT CORNEA DYSTROPHY NEC                   ",371.52,37152
371,"GRANULAR CORNEA DYSTRPHY                   ",371.53,37153
371,"LATTICE CORNEA DYSTROPHY                   ",371.54,37154
371,"MACULAR CORNEA DYSTROPHY                   ",371.55,37155
371,"STROM CORNEA DYSTRPH NEC                   ",371.56,37156
371,"ENDOTHEL CORNEA DYSTRPHY                   ",371.57,37157
371,"POST CORNEA DYSTRPHY NEC                   ",371.58,37158
371,"KERATOCONUS NOS                            ",371.6,37160
371,"KERATOCONUS",NA,NA
371,"KERATOCONUS",NA,NA
371,"CORNEAL DEFORMITY NOS                      ",371.7,37170
371,"CORNEAL ECTASIA                            ",371.71,37171
371,"DESCEMETOCELE                              ",371.72,37172
371,"CORNEAL STAPHYLOMA                         ",371.73,37173
371,"CORNEAL ANESTHESIA                         ",371.81,37181
371,"CORNEA DISORD/CNTCT LENS                   ",371.82,37182
371,"CORNEAL DISORDER NEC                       ",371.89,37189
371,"CORNEAL DISORDER NOS                       ",371.9,3719
372,"ACUTE CONJUNCTIVITIS NOS                   ",372,37200
372,"SEROUS CONJUNCTIVITIS                      ",372.01,37201
372,"AC FOLLIC CONJUNCTIVITIS                   ",372.02,37202
372,"MUCOPUR CONJUNCTIVIT NEC                   ",372.03,37203
372,"PSEUDOMEMB CONJUNCTIVIT                    ",372.04,37204
372,"AC ATOPIC CONJUNCTIVITIS                   ",372.05,37205
372,"CHR CONJUNCTIVITIS NOS                     ",372.1,37210
372,"SIMPL CHR CONJUNCTIVITIS                   ",372.11,37211
372,"CHR FOLLIC CONJUNCTIVIT                    ",372.12,37212
372,"VERNAL CONJUNCTIVITIS                      ",372.13,37213
372,"CHR ALLRG CONJUNCTIV NEC                   ",372.14,37214
372,"PARASITIC CONJUNCTIVITIS                   ",372.15,37215
372,"BLEPHAROCONJUNCTIVIT NOS                   ",372.2,37220
372,"ANGULAR BLEPHAROCONJUNCT                   ",372.21,37221
372,"CONTACT BLEPHAROCONJUNCT                   ",372.22,37222
372,"CONJUNCTIVITIS NOS                         ",372.3,37230
372,"ROSACEA CONJUNCTIVITIS                     ",372.31,37231
372,"MUCOCUTAN DIS CONJUNCTIV                   ",372.33,37233
372,"CONJUNCTIVITIS NEC                         ",372.39,37239
372,"PTERYGIUM NOS                              ",372.4,37240
372,"PERIPH STATION PTERYGIUM                   ",372.41,37241
372,"PERIPH PROGESS PTERYGIUM                   ",372.42,37242
372,"CENTRAL PTERYGIUM                          ",372.43,37243
372,"DOUBLE PTERYGIUM                           ",372.44,37244
372,"RECURRENT PTERYGIUM                        ",372.45,37245
372,"CONJUNCTIVAL DEGEN NOS                     ",372.5,37250
